usage_id,plan_id,benefit_type,issued_count,used_count,unit_cost,month
u001,basic_monthly,coupon,2400,980,5,2026-06
u002,basic_monthly,shipping,1200,410,3,2026-06
u003,plus_quarterly,coupon,3600,1680,8,2026-06
u004,plus_quarterly,shipping,900,430,8,2026-06
u005,plus_annual,coupon,6000,2760,10,2026-06
u006,plus_annual,shipping,1000,520,18,2026-06
u007,premium_annual,coupon,3360,1820,20,2026-06
u008,premium_annual,shipping,420,268,36,2026-06
u009,student_annual,coupon,3400,1320,8,2026-07
u010,student_annual,shipping,680,240,14,2026-07
u011,family_annual,coupon,2600,1340,25,2026-07
u012,family_annual,shipping,260,178,48,2026-07
u013,trial_monthly,coupon,1500,420,3,2026-07
u014,trial_monthly,shipping,1500,290,2,2026-07
u015,vip_annual,coupon,1920,1160,30,2026-07
u016,vip_annual,shipping,160,126,60,2026-07
u017,city_plus,coupon,4160,1840,12,2026-07
u018,city_plus,shipping,520,302,28,2026-07
u019,lite_annual,coupon,4400,1440,5,2026-07
u020,lite_annual,shipping,1100,310,9,2026-07
