order_id,segment_id,is_member,order_amount,gross_margin,month
o001,s01,true,236,75.52,2026-06
o002,s01,false,178,56.96,2026-06
o003,s02,true,128,35.84,2026-06
o004,s02,false,86,24.08,2026-06
o005,s03,true,72,15.84,2026-06
o006,s03,false,54,11.88,2026-06
o007,s04,true,68,12.24,2026-06
o008,s04,false,39,7.02,2026-06
o009,s05,true,52,8.32,2026-06
o010,s05,false,31,4.96,2026-06
o011,s06,true,76,15.2,2026-07
o012,s06,false,44,8.8,2026-07
o013,s07,true,188,56.4,2026-07
o014,s07,false,122,36.6,2026-07
o015,s08,true,154,41.58,2026-07
o016,s08,false,101,27.27,2026-07
o017,s09,true,38,5.7,2026-07
o018,s09,false,22,3.3,2026-07
o019,s10,true,328,118.08,2026-07
o020,s10,false,241,86.76,2026-07

